entity,type,desires,fears
metaphors,Concept,To aid in understanding complex concepts or phenomena; To be understood as an integral part of our conceptual system and how we understand and categorize reality; To facilitate understanding and communication by providing alternative perspectives and meanings; To provide a better understanding of new phenomena; Facilitate understanding of new concepts by relating them to familiar ones; To be understood and effectively convey meaning in legal contexts; To play a fundamental role in how thinking and meaning-making works; To be recognized as a legitimate aspect of thought and used as a tool for reform,"Being misinterpreted or leading to misunderstandings; Being dismissed as merely language-based and not influential in shaping our perception of the world; Being perceived as literal truth, limiting the ability to challenge established concepts and regulations; Being misinterpreted or hiding the novel aspects of new phenomena; Being misunderstood or misinterpreted, leading to confusion; Being misinterpreted or misused to manipulate legal decisions; Being misunderstood or misinterpreted leading to confusion; Being shunned or disregarded in the analysis process"
Entrepreneurs,Group of individuals,"To innovate, create value, and potentially make a profit","Legal consequences, negative public perception, or failure in their ventures"
Defendants,Legal representatives,"To defend TPB as a passive platform, search engine, or bulletin board to avoid legal consequences",Being unable to protect TPB from liability for copyright violations
Database of torrent files,technology,To store and organize torrent files for users to search and access content for download.,"Being inaccessible, incomplete, or corrupted, resulting in users being unable to find or download desired content."
Generativity,Concept,"To enable restructuring and rebuilding of digital technology, allowing for innovation and evolution","Being constrained or controlled by centralized authorities, hindering the development of decentralized technologies and platforms"
law,Concept,"To provide justice, fairness, and order in society; To be applied in a way that reflects evolving societal values and needs; To maintain order, enforce copyright protection, regulate digital phenomena, and adapt to technological evolution","Being misinterpreted, misapplied, or manipulated for personal gain; Being rigidly interpreted based on entrenched metaphors; Losing credibility or being undermined by social and cognitive structures; Losing relevance in a rapidly changing digital environment; Failing to keep up with rapid changes in society"
Distributed Hash Table (DHT),Data structure,"Decentralization, encryption, peer-to-peer communication without a central server; Effective organization of peers in a DHT","Centralization, control by a single server or individual, failure of nodes in communication; Lack of implementation in real systems and scalability issues"
The Pirate Bay court case,Legal case involving copyright infringement,To reach a just and fair decision that considers the complexities of copyright law and digital sharing,Being influenced by biased interpretations or metaphors that may skew the outcome of the case
Search engine,technology,To be considered a valuable tool in lawful activities and of general public benefit; To efficiently categorize and index torrents for users to easily search and find content within the database.,"Being associated with spreading or transferring illegal material despite precautions; Being unable to properly categorize or index torrents, leading to user dissatisfaction and decreased usability of the site."
Legal scholars,Individuals studying law and legal decisions,To understand hidden values in decision-making processes and raise awareness of how meaning is produced in the legal field,"Being influenced by myths, metaphors, and symbols that may lead to biased or unjust decisions"
Skeumorphs,Concept,"Provide familiar cues in unfamiliar domains; Facilitate quick understanding of new phenomena; Innovative use of existing concepts, adaptation to new circumstances; Create recognition and familiarity in new technology by referencing older versions, aiding in adoption and understanding.","Being ineffective in making new things appear old and familiar; Concealing the unique aspects of new phenomena; Being constrained by past norms and concepts, limitations in understanding new phenomena; Misunderstood or misinterpreted, leading to confusion or hindering adoption of new technology."
Broadband provider,Organization,To provide uninterrupted Internet access to customers while avoiding legal liabilities,Being held liable for facilitating illegal actions and facing lawsuits from major movie and music companies
social norms,concept,To maintain order and harmony within society by guiding behavior and expectations,Disruption of social cohesion and potential conflict arising from non-compliance
copyright norms,Conflict over copyright laws and regulations,"To protect the intellectual property rights of creators, ensure fair compensation, and establish balanced copyright regulations","Piracy, infringement, unauthorized distribution undermining the value of creative works, and being influenced by misleading metaphors and symbols"
TPB (The Pirate Bay),Digital platform,To be accurately categorized and understood within the legal system; To operate as a legitimate search engine and provide public benefit through primarily lawful activities; To be recognized as a search engine or bulletin board for legal protection under the E-Commerce Directive; To continue facilitating access to digital content without restrictions and to challenge traditional media corporations; To continue operating successfully and facilitating p2p file sharing; Continued growth in visitors and resilience against legal actions; To provide a platform for sharing files and information freely,Being misrepresented or misunderstood in the legal process; Being held liable for illegal uses of its technology and content distribution; Being held liable for copyright violations due to the nature of its service; Being shut down or legally prosecuted for copyright infringement; Being shut down or facing legal repercussions; Closure or blockage by national legal regimes; Facing legal consequences for facilitating copyright infringement
Intellectual Property regulation,Concept,Strong support for upholding copyright law online,Weak support leading to challenges in enforcing copyright law
digital entities,concept,To be understood and valued in the same way as physical entities,"Misunderstanding, devaluation, and loss of control in the digital realm"
BitTorrent tracker site,Technology,"To facilitate decentralized file sharing and provide a platform for peer-to-peer sharing without central control; To function properly and efficiently by being accessible through the Internet, having a domain name for users to find it, and utilizing a search engine, database of torrent files, and a tracker to facilitate peer communication.; To facilitate file-sharing among users without facing legal repercussions","Being sued for complicity in copyright infringement, facing legal jurisdiction issues, and being shut down by authorities; Being shut down or restricted by legal actions due to copyright infringement or other illegal activities associated with the content shared on the site.; Being shut down or blocked by ISPs due to copyright infringement allegations"
Copyright wars,Concept,To establish fair and effective copyright regulations that balance the interests of creators and users; To protect the intellectual property rights of creators and ensure fair compensation for their work; Protection of intellectual property rights; To protect intellectual property and creative works while also adapting to the digital environment,"Being swayed by misleading metaphors and symbols that may distort the perception of copyright issues; Piracy, infringement, and unauthorized distribution that undermine the value of creative works; Infringement and unauthorized distribution of copyrighted material; Being unable to effectively address the challenges posed by digital technology and failing to uphold the rights of creators"
TPB,Assemblage,To continue operating and evolving in a decentralized manner,Being dismantled or regulated by legal authorities
Younger generation of file sharers,Entity,To share files freely without legal consequences,Facing legal punishment or negative perceptions from society
Internet Service Provider (ISP),Organization,To offer Internet services to customers without legal consequences,Being forced to exert control over content and facing lawsuits from major companies for contributing to copyright violations
