entity,type,desires,fears
Chain Affiliated Restaurants,Businesses,To enhance reputation and visibility to attract more customers,"Concerns about free-riding, high monitoring expenses, and losing market share to standalone restaurants"
Restaurant Industry,Industry,"To maintain high quality standards, attract customers, and stay profitable","Negative reviews impacting reputation, losing customers, and going out of business"
Consumer Review Websites,Concept,To alter demand and provide consumers with valuable insights; To provide accurate and helpful information to consumers about products and services; To help consumers make informed decisions about where to dine,"Lack of hard evidence on correlation with objective quality measures; Being noisy, difficult to interpret, or based on subjective information that may not reflect the views of the general population; Being influenced by fake or misleading reviews"
Independent Restaurants,Business entity,To increase revenue; Higher Yelp penetration for increased revenue; To attract customers and remain competitive,"Losing customers or receiving negative reviews; Decrease in revenue due to lower Yelp penetration or negative reviews; Underprovision problem, selection of reviewers, and losing customers to chain-affiliated restaurants"
reputation system,system,To maintain the integrity and reliability of feedback and reviews,Being compromised by fraudulent activities or fake reviews
text coherence,concept,To ensure that the information provided in the review is consistent with the user's known details,Being flagged for inconsistencies or dishonesty
review count,Data,To accurately reflect the user's level of activity and contribution to the platform; To accurately reflect the sentiment and helpfulness of reviews,"Being associated with fake reviews or fraudulent activities; Being misinterpreted or inaccurately classified, especially in different languages"
transaction trust level,concept,To accurately reflect the authenticity and reliability of the transaction being reviewed,Being misled by fake reviews or fraudulent activities
trustworthiness measure,metric,To accurately assess the reliability of user identities and transactions,Being unable to distinguish between trustworthy and untrustworthy feedback
user trust level,concept,To accurately reflect the user's identity and credibility in the reviews they provide,Being misrepresented or having fake reviews attributed to them
reviewer experience,Reviewer,To accurately represent the seniority of the user in the system; To be objective and unbiased; To seek status and be pleased,Being perceived as inexperienced or untrustworthy; To not be able to maintain professionalism when giving ratings; To be overcritical due to lack of understanding
Facebook identity,concept,To provide additional verification and credibility to the user's identity,Being linked to fake accounts or fraudulent behavior
Men,Gender,To prevent others from falling into traps by relying on expertise in online booking,"Being unable to prevent others or being deceived themselves, making uninformed decisions, or feeling inadequate in online booking"
Online ratings,Importance in the hospitality industry,To accurately represent the quality of services,Being manipulated or influenced by biased or fake reviews
Status Seeking,Behavior,"Improving actor's standing in a group, increasing prestige, honor, or deference, seeking economic and social advantage, psychological and emotional satisfaction, gaining public recognition, outperforming others","Loss of prestige, honor, or deference, failure to achieve desired status or recognition"
Online reward systems,Incentive structures on e-commerce platforms,To encourage users to contribute more content and benefit the business,Not effectively changing the behavior of contributors and readers
Readers,Consumers of online reviews,To make informed decisions based on reviews; To receive helpful and informative reviews to make travel decisions; To rely on reviews marked with more helpful votes,Receiving inaccurate or unhelpful information from reviews; To not receive useful information before making a decision; To rely on reviews that are not considered valuable or of low quality
Reviewer Badges and Rating Behavior,System/Feature,"To incentivize users to post reviews, boost engagement, establish credibility and expertise","Potential misuse or manipulation, lack of authenticity in reviews, negative impact on user behavior"
Rating,Concept,To accurately reflect the reviewer's opinion of the product or service,"Being misunderstood, misinterpreted, or not taken seriously by others"
Online reviewers,Concept,"To earn higher-level badges, obtain prestigious online badges, post more reviews, support service providers, push for service quality improvements, express personal feelings, warn future consumers, gain status and reputation, provide accurate insights, influence consumer purchase decisions positively, accurately reflect customer experiences and opinions, provide helpful feedback, have a larger impact on consumer decision-making","Losing credibility, not being rewarded for efforts, negative word-of-mouth, reputation damage for businesses, being manipulated by vendors or third parties, lack of credibility, difficulty in determining truthfulness, being negative and spreading bad word-of-mouth, loss of credibility, inaccurate assessments, misinformation for consumers, loss of influence"
Badge Level,Attribute,"To accurately represent the reviewer's travel experience and expertise; To be associated with responsible and objective reviewers; Represent experience, authority, and status",Being perceived as unimportant or not reflective of the reviewer's actual travel activity; Being correlated with extreme negative ratings; Becoming less competitive or losing motivation to contribute
Reviewers with high-level badges,Online reviewers,"To have their contributions recognized, valued, and considered helpful","Being disregarded or not appreciated for their efforts, having their reviews receive fewer 'helpful' votes and be considered lower quality"
Online Reviewers,Concept,"To earn higher-level badges, obtain prestigious online badges, post more reviews, support service providers, push for service quality improvements, express personal feelings, warn future consumers, gain status and reputation, provide accurate and helpful insights, influence consumer purchase decisions positively, accurately reflect customer experiences and opinions, provide accurate and helpful feedback, have a larger impact on consumer decision-making","Losing credibility, not being rewarded, inability to positively influence service quality, negative word-of-mouth, damage to reputation, being manipulated to boost sales, lack of credibility, difficulty in determining truthfulness, negative word-of-mouth leading to reputation damage, loss of credibility, inaccurate assessments, misinformation for consumers, deception of customers, inaccuracy, lack of impact on satisfaction levels, loss of influence"
Badge level,Attribute,"To accurately represent the reviewer's travel experience and expertise; To be associated with responsible and objective reviewers; Represent experience, authority, and status",Being perceived as unimportant or not reflective of the reviewer's actual travel activity; Being correlated with extreme negative ratings; Becoming less competitive or losing motivation to contribute
hospitality and tourism industry,entity,"To attract more positive online reviews, increase online buying, satisfaction, and improve management","Receiving negative online reviews, low satisfaction levels, and poor management practices"
Review Extremeness,Measurement,To reflect the true quality of the reviewed service,Being negatively correlated with reviewer badge level
Inexperienced Reviewers,Reviewer,To seek status and be pleased; To be objective and unbiased; To accurately represent the seniority of the user in the system,To be overcritical due to lack of understanding; To not be able to maintain professionalism when giving ratings; Being perceived as inexperienced or untrustworthy
Traveler,Individuals,To have a clear understanding of what to expect when visiting hotels or restaurants; receiving accurate and honest information about products and services; To have satisfying experiences in hotels and restaurants; To have realistic expectations and understand the industry well,"Having unrealistic expectations, being disappointed, or not receiving the expected level of service; being misled by fake reviews and making poor purchasing decisions; Having poor or terrible experiences and leaving negative reviews; To not know who to hold accountable if something goes wrong"
researchers,Professionals,To develop methods for identifying unauthentic online reviews and improving the reliability of information; To develop effective methods for detecting and preventing opinion spam; To understand the impact of online reviews on consumer behavior; Obtaining reliable data through experiments or questionnaires; To contribute new knowledge and insights to the field of hospitality and tourism research,Inaccurate findings or limited generalizability of their research; Inaccurate results or being misled by deceptive practices; Inaccurate data or biased interpretations leading to flawed conclusions; Biased samples or limited sample sizes affecting the validity of their research findings; Being unable to reach consensus on issues or failing to identify relevant trends in the research field
online travel review platforms,entity,To provide accurate and helpful information to travelers,Being manipulated or misused for fraudulent purposes
"Platforms (Qunar, Ctrip, eLong, Booking.com, TripAdvisor)",Websites,To incentivize reviewers to post reviews and maintain a positive reputation,Losing credibility or user engagement due to lack of rewards or incentives
Research Methods,Concept,To efficiently test or explore theoretical assumptions and offer managerial implications based on findings.,Limited use or acceptance of conceptual and descriptive methods in research.
Review Content,Data,"To accurately reflect the sentiment, helpfulness, user's level of activity, and contribution to the platform in reviews","Being misinterpreted, inaccurately classified, associated with fake reviews, or fraudulent activities, especially in different languages"
Authorship,Concept,"Efficient research facilitation, distribution of workload, and maximization of publication rewards",Lack of collaboration or support in research leading to inefficiency and limited publication opportunities
Journals,Concept,"To publish papers on online hospitality and tourism reviews, contributing to the field.","Lack of diversity in published articles, limited impact on the field of hospitality and tourism research."
Customer satisfaction,Emotional state,To have positive experiences with products/services,Receiving poor quality products/services and having a negative experience
Hotels and Restaurants,Businesses,To receive positive reviews and high ratings to attract more customers and increase online bookings,Receiving negative reviews or low ratings that can deter potential customers and harm their reputation
Hospitality and tourism researchers,Professionals,To better understand the impact of online reviews on consumer behavior and improve customer satisfaction,Lack of innovative methods or solutions to address the challenges posed by online reviews
Opinion mining,Concept,Accurate sentiment classification of online reviews and efficient extraction of relevant information from customer feedback,"Limited precision in sentiment classification, inability to understand the real meaning of reviews, difficulty in handling multiple languages, lack of practical application and motivation"
Hotels in Hong Kong,Businesses,To maintain a positive reputation and attract customers,Receiving poor reviews that damage their reputation and deter potential customers
Helpful function,Function,To generate valuable reviews that assist potential customers in decision-making,"Being misused or manipulated, leading to unreliable information"
Supervised machine learning algorithms,Concept,To accurately classify sentiment in online reviews,"Being outperformed by other algorithms, such as SVM and N-gram models"
Online travel reviewers,Individuals,"To support the service provider by providing feedback and pushing for improvements in service quality, concern for future consumers and their experiences, earn higher-level badges, obtain prestigious online badges, post more reviews, support service providers, express personal feelings, and warn future consumers, gain status and reputation","Being unable to influence service quality improvements or help future consumers, losing credibility, not being rewarded for their efforts, unable to positively influence service quality, negative word-of-mouth spreading, potential damage to the reputation of a brand or firm"
Hospitality industry,Business sector,To effectively analyze customer feedback and improve customer experience; Positive online reviews to attract customers and enhance reputation,Facing challenges in opinion mining due to language differences and lack of practical application; Negative online reviews impacting customer trust and business profitability
Suppliers,Stakeholder,To maintain a positive online reputation and attract more customers,Negative online reviews impacting their business negatively
Badge,Recognition,"To accurately represent the level of reviewer activity and quality of reviews; To be seen as a symbol of reputation and expertise within the online community, influencing future behavior and gaining public recognition","Being misinterpreted or not reflecting the true reviewer behavior; Being disregarded or not valued by the online community, leading to a lack of engagement or participation"
Review/Rating,Content,To provide informative and helpful recommendations for other users,"To avoid being biased, inaccurate, or not representative of the true experience"
Artificial Intelligence,Concept,"To improve efficiency and accuracy in sentiment classification, feature extraction, opinion mining, and sentiment analysis","Being time-consuming, exhausting, costly, facing limitations in handling different languages, lack of practical application, and inability to effectively analyze and interpret online reviews"
Hospitality and tourism online reviews,Concept,To be accurately represented and utilized for decision-making in the hospitality and tourism industry,"Being biased, manipulated, or misrepresented, leading to inaccurate perceptions and decisions in the industry"
Review,Individuals,To be considered helpful and valuable by readers; To provide accurate and helpful reviews; To provide honest feedback and contribute to the community by sharing experiences; To have their reviews impact consumer decisions; To earn higher badge levels by posting more reviews and to have their travel experience recognized; Recognition and helpfulness for their reviews; To have a positive experience and provide accurate feedback; To provide accurate and helpful reviews that reflect their experiences; To share their experiences and opinions about hotels; To receive accurate and reliable information about hotels and restaurants; To provide honest feedback and help other consumers make informed decisions; To influence others positively with genuine and accurate reviews; To increase their status and reach different levels through posting reviews; To have their reviews considered helpful and receive recognition through badges,"To be ignored or not contribute to travelers' decision-making process; Being rated as unhelpful or low-quality; To be part of a suspicious boosting or vandalism campaign that skews reviews; To be associated with fake reviews or flagged as suspicious, which can harm their credibility and reputation; Being ignored or discredited as a reviewer; To have their reviews ignored or considered less valuable; Losing motivation to contribute or receiving less helpfulness votes; Receiving poor or terrible ratings for their reviews; Being biased or inaccurate due to insufficient data or being excluded from analysis; To have their review misinterpreted or ignored; Having their reviews misrepresented or not considered in the reputation model, leading to inaccurate assessments of restaurants; To have their reviews excluded or not considered valid; Being deceived by fake reviews or receiving negative feedback for their own reviews; Being flagged as potentially fraudulent, having their reviews not published, or being associated with review fraud; Posting low-quality or suspicious reviews that mislead consumers; Being misled by suspicious or contradictory ratings; Being associated with fake or deceptive reviews and losing credibility; Being manipulated or forced to give false ratings, leading to a lack of credibility; Being labeled as manipulators, having their credibility questioned, or causing confusion among readers; Being misled by fake reviews or not being able to identify fake reviews; Being misrepresented or misinterpreted in their reviews; Not being able to provide valuable information to potential customers; Receiving no helpful votes or recognition for their reviews"
eWOM,information source,"Influence on purchase decisions, positive impact on customer satisfaction","Misinterpretation, lack of influence, negative impact on decisions"
Social media,Concept,"To be effectively utilized for communication, marketing, and engagement in the hospitality and tourism industry","Being misused, leading to negative reputation, misinformation, or diminished trust in the industry"
guest,customer,"High value, satisfaction, return intentions, free Wi-Fi, positive online reviews","Low value, dissatisfaction, negative online reviews, lack of response to complaints"
Service providers,Business,To attract customers and build reputation through positive reviews and high scores from travelers,"Negative reviews damaging their reputation and driving customers away, receiving fake negative reviews that could harm their reputation"
Applications or platforms like TripAdvisor and other OTAs,Online review platforms,To accurately measure review quality and promote valuable content creation,To lack a reliable quality index and potentially lose the trust of reviewers and readers
Academic research,Concept,"To contribute valuable insights, knowledge, and advancements to the field of hospitality and tourism online reviews","Being limited in scope, bias, or impact, hindering progress and innovation in the industry"
Cultural differences,Concept,Promoting cross-cultural understanding and appreciation,"Stereotyping, discrimination, or conflict based on cultural differences"
response management,strategy,"Improved customer satisfaction, loyalty, increased revenue","Ineffective responses, unsatisfied customers, negative impact on revenue"
Psychological behavior,Concept,Understanding and predicting human motivations and actions,"Being misunderstood or oversimplified, leading to ineffective strategies or interventions"
consumer,Entity,Access to reliable and accurate information for making informed dining and purchasing decisions based on genuine online reviews; Positive and high satisfaction experiences with products/services; Accurate information about restaurant and product quality to guide decision-making; Helpful and credible online reviews to support decision-making process,"Being misled by inaccurate, manipulated, or fake online reviews leading to unsatisfactory purchases and poor choices; Negative experiences with products/services due to false or incomplete information; Lack of trustworthy information resulting in making poor purchasing decisions; Being deceived by false or untrustworthy reviews affecting overall satisfaction"
manager,Professional,"Successful responses to comments, loyal customers, increased revenue, high satisfaction levels; To have accurate and reliable information about online reviews for their hotels or restaurants; To receive accurate feedback on service delivery and quality to improve customer satisfaction.; Maintaining a positive online reputation for their business","Unsatisfied customers, negative reviews, low future satisfaction levels, ineffective response strategies; Being negatively impacted by suspicious or unauthentic reviews on influential platforms; Negative reviews with low ratings reflecting real problems that need to be addressed.; Receiving negative online complaints and losing customers"
Service quality,Concept,Consistent high-quality service for all customers,Inconsistencies or biases in service provision based on cultural background
Online sellers,Business entity,To attract potential customers and increase revenue through positive online reviews,Receiving negative reviews that deter customers from making purchases
Academic research on online reviews,Concept,Expansion of knowledge and understanding through more research articles,Limited scope or bias in research due to language or publication restrictions
online review,Concept,"Truthful representation of customer experiences, positive sentiment, authenticity and transparency in the review system, accurate and helpful insights for potential customers, influence consumer purchase decisions positively, accurate representation of customer opinions and experiences, provide accurate and helpful feedback, earn higher-level badges, obtain prestigious online badges, support service providers, push for service quality improvements, express personal feelings, warn future consumers, gain status and reputation","Inaccuracy, negative sentiment, lack of impact on satisfaction levels, being manipulated by vendors, publishers, writers, or any third party, lack of credibility, variability in individual opinions, difficulty in determining truthfulness, negative word-of-mouth, reputation damage for businesses, loss of credibility, inaccurate assessments, misinformation for consumers, deception, not being rewarded for efforts, inability to positively influence service quality, potential damage to the reputation of a brand or firm"
